,Address,Locality,Region,Postal Code,Price,SQFT House,SQFT Lot,Full Baths,Half Baths,Bedrooms,Garage,Master Bath,Cooling,Heating,Elementary School,Middle School,High School,School District,Annual Tax,House Type,Build Year,Updated,Neighborhood,Association Monthly,Schoool District
0,724 W Chelten Ave,Philadelphia,PA,19126,459000,3290,17689,3,3,5,[],[],['Whole House Fan'],['Hot Water'],[],[],"['High School: CENTRAL ', 'High School: CENTRAL']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4205,Single family,1925,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
1,2230 S Carlisle St,Philadelphia,PA,19145,250000,1050,689,1,[''],3,[],[],['Ceiling Fan(s)'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1407,Multi family,1920,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
2,1247 E Columbia Ave Apt 30,Philadelphia,PA,19125,500000,1092,[],2,1,2,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,897,Condo,2016,05/17/2020,['Neighborhood: COBBS CREEK<'],['312'],53.0
3,500 Admirals Way Apt 112,Philadelphia,PA,19146,383500,902,[],1,[''],1,[],11,['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4878,Condo,2006,05/17/2020,['Neighborhood: COBBS CREEK<'],['432'],53.0
4,1021 Hazelwood Dr,Philadelphia,PA,19150,370000,2513,2716,3,1,4,[],11,['Central A/C'],['Forced Air Heating'],"['Elementary School: JENKS ', 'Elementary School: JENKS']",[],"['High School: ROXBOROUGH ', 'High School: ROXBOROUGH']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,720,Single family,2016,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
5,2415 S 18th St,Philadelphia,PA,19145,380000,1502,1087,2,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3025,Multi family,1920,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
6,4604 Aubrey Ave,Philadelphia,PA,19114,350000,2413,9262,2,[''],3,[],11,['Ceiling Fan(s)'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3946,Single family,1955,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
7,11804 Basile Rd,Philadelphia,PA,19154,262000,1380,1995,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],"['Elementary School: A', 'Elementary School: A']","['Middle School: A', 'Middle School: A']","['High School: GEORGE WASHINGTON ', 'High School: GEORGE WASHINGTON']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2889,Multi family,1963,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
8,1022 N Leithgow St,Philadelphia,PA,19123,660000,2118,752,2,1,3,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2153,Single family,2016,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
9,5101 Woodbine Ave,Philadelphia,PA,19131,540000,4200,13319,4,2,6,[],11,['Ductless/Mini'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4989,Single family,1925,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
10,1748 Waterloo St,Philadelphia,PA,19122,488500,1985,608,3,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,395,Land,2020,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
11,432 Lyceum Ave,Philadelphia,PA,19128,495500,2590,4732,1,1,4,[],[],['Central A/C'],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4191,Single family,1900,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
12,3114 Cedar St,Philadelphia,PA,19134,146500,1096,969,1,[''],3,[],[],[],['Baseboard '],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1849,Multi family,1920,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
13,761 N 27th St,Philadelphia,PA,19130,720000,2200,1440,2,1,4,[],11,['Central A/C'],['Zoned Heating'],"['Elementary School: ROBERT MORRIS SCHOOL ', 'Elementary School: ROBERT MORRIS SCHOOL']","['Middle School: ROBERT MORRIS SCHOOL ', 'Middle School: ROBERT MORRIS SCHOOL']","['High School: ROBERT VAUX ', 'High School: ROBERT VAUX']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,5967,Multi family,1920,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
14,505 S 27th St,Philadelphia,PA,19146,1300000,2959,1050,2,1,4,[],11,['Central A/C'],['Forced Air Heating'],"['Elementary School: GREENFIELD ALBERT ', 'Elementary School: GREENFIELD ALBERT']","['Middle School: GREENFIELD ALBERT ', 'Middle School: GREENFIELD ALBERT']",[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,13621,Multi family,2002,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
15,2547 S 75th St,Philadelphia,PA,19153,189900,1046,1143,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1372,Multi family,1916,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
16,1630 Fox Chase Rd,Philadelphia,PA,19152,214900,1080,3103,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2613,Single family,1956,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
17,2045 Manton St,Philadelphia,PA,19146,500000,2500,672,3,[''],4,[],11,['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,911,Single family,2019,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
18,5421 Angora Ter,Philadelphia,PA,19143,334800,2144,1887,[],[],0,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1067,Multi family,1920,05/15/2020,['Neighborhood: COBBS CREEK<'],[],53.0
19,6125 Walker St,Philadelphia,PA,19135,215000,1200,1349,1,1,3,[],[],['Central A/C'],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1561,Multi family,1940,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
20,1324 S Bouvier St,Philadelphia,PA,19146,405000,1268,700,3,[''],3,[],[],['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,862,Multi family,2017,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
21,1330 S Bancroft St,Philadelphia,PA,19146,365000,1901,[],3,[''],3,[],[],[],[],[],[],[],[],[],Multi family,2015,05/16/2020,['Neighborhood: COBBS CREEK<'],[],
22,2028 Oakmont St,Philadelphia,PA,19152,275000,1296,2957,2,1,3,[],11,[],['Radiant'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2770,Single family,1961,05/15/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
23,1326 N Mascher St Unit I,Philadelphia,PA,19122,605000,2650,839,3,[''],3,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2094,[],2017,[],['Neighborhood: COBBS CREEK<'],['122'],53.0
24,12823 Cabell Rd,Philadelphia,PA,19154,233000,1810,1993,1,2,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2993,Multi family,1973,05/16/2020,['Neighborhood: COBBS CREEK<'],['0'],53.0
