,Address,Locality,Region,Postal Code,Price,SQFT House,SQFT Lot,Full Baths,Half Baths,Bedrooms,Garage,Master Bath,Cooling,Heating,Elementary School,Middle School,High School,School District,Annual Tax,House Type,Build Year,Updated,Neighborhood,Association Monthly,Schoool District
0,2643 Federal St,Philadelphia,PA,19146,396550,1800,531,3,[''],3,[],11,['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,167,Land,2020,05/16/2020,['Grays Ferry'],['0'],53.0
1,1243 Kater St,Philadelphia,PA,19147,1470000,4200,974,4,3,4,[],11,['Central A/C'],['Central Heating'],"['Elementary School: ANDREW JACKSON ', 'Elementary School: ANDREW JACKSON']",[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,6159,Multi family,2016,05/15/2020,['Center City'],['156'],53.0
2,125 W Springfield Ave,Philadelphia,PA,19118,650000,2477,[],2,1,5,[],[],[],[],[],[],[],[],[],Single family,1925,05/15/2020,['Chestnut Hill'],[],
3,463 W Abbottsford Ave,Philadelphia,PA,19144,203000,1200,[],1,[''],3,[],[],[],[],[],[],[],[],[],Multi family,1930,05/15/2020,['Upper Northwest'],[],
4,518 N Simpson St,Philadelphia,PA,19151,66500,1140,1829,1,[''],3,[],[],[],['Baseboard '],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1359,Multi family,1925,05/16/2020,['West Philadelphia'],['0'],53.0
5,2048 E Rush St,Philadelphia,PA,19134,313000,2300,860,3,[''],3,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,157,Land,2020,05/16/2020,['Richmond'],['0'],53.0
6,2821 S Darien St,Philadelphia,PA,19148,300000,960,2142,2,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3166,Multi family,1970,05/17/2020,['South Philadelphia'],['0'],53.0
7,4434 Fleming St,Philadelphia,PA,19128,218000,1476,[],1,[''],4,[],[],[],[],[],[],[],[],[],Multi family,1920,05/15/2020,['Lower Northwest'],[],
8,23 S 23rd St Unit 3N,Philadelphia,PA,19103,480000,1320,[],1,1,1,[],11,['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,6443,Condo,1900,05/17/2020,[],['613'],53.0
9,919 Mifflin St,Philadelphia,PA,19148,335000,1240,839,1,1,3,[],[],['Central A/C'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3400,Multi family,1920,05/15/2020,['South Philadelphia'],['0'],53.0
10,500 Regatta Dr Unit 2528,Philadelphia,PA,19146,415000,996,[],1,[''],1,[],[],['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,787,Condo,2011,05/17/2020,['Center City'],['452'],53.0
11,6480 Ross St,Philadelphia,PA,19119,229500,1428,802,2,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1244,Multi family,1950,05/16/2020,['Upper Northwest'],['0'],53.0
12,817 S 48th St,Philadelphia,PA,19143,618000,3402,2969,2,1,7,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,5312,Single family,1895,05/15/2020,['West Philadelphia'],['0'],53.0
13,166 Cotton St,Philadelphia,PA,19127,207700,960,622,1,[''],2,[],[],['Window Unit(s)'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2410,Multi family,1900,05/15/2020,['Lower Northwest'],['0'],53.0
14,7811 Verree Rd Unit B,Philadelphia,PA,19111,255000,1716,2858,2,1,3,[],[],['Central A/C'],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2384,Single family,1925,05/16/2020,[],['0'],53.0
15,250810 Grays Ferry Ave Unit 2,Philadelphia,PA,19146,537500,1450,2232,3,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,[],[],2020,[],[],['100'],53.0
